deaths,completion_time,difficulty
0,200,higher
0,150,higher
0,140,higher
0,200,higher
0,220,higher
0,170,higher
0,250,higher
0,250,higher
0,300,higher
0,300,higher
1,400,equal
1,420,equal
2,400,equal
1,480,equal
1,470,equal
1,500,equal
2,420,equal
1,500,equal
1,400,equal
1,450,equal
3,600,lower
4,800,lower
5,400,lower
4,500,lower
4,450,lower
3,500,lower
3,550,lower
5,350,lower
3,400,lower
4,410,lower
5,600,lower
4,900,lower
0,120,higher
0,130,higher
0,180,higher
0,190,higher
0,210,higher
0,230,higher
0,280,higher
0,320,higher
0,350,higher
0,370,higher
1,410,equal
2,430,equal
1,450,equal
1,470,equal
1,490,equal
2,520,equal
1,540,equal
1,560,equal
1,580,equal
1,600,equal
1,620,equal
2,650,equal
1,680,equal
1,700,equal
1,730,equal
1,750,equal
2,780,equal
1,810,equal
1,830,equal
1,850,equal
4,900,lower
3,850,lower
4,820,lower
4,800,lower
3,780,lower
3,760,lower
4,740,lower
2,720,lower
4,700,lower
4,680,lower
5,600,lower
5,550,lower
5,520,lower
5,500,lower
5,480,lower
5,460,lower
5,440,lower
5,420,lower
5,400,lower
5,380,lower
