deaths,completion_time,difficulty
1,500,higher
2,450,higher
0,400,higher
2,460,higher
1,550,higher
1,500,higher
2,480,higher
1,470,higher
0,600,higher
0,530,higher
3,500,equal
4,600,equal
4,550,equal
3,800,equal
5,750,equal
5,700,equal
3,670,equal
4,600,equal
3,800,equal
4,700,equal
7,750,lower
6,900,lower
9,850,lower
8,800,lower
7,900,lower
7,1000,lower
8,750,lower
9,650,lower
6,900,lower
7,750,lower
6,1000,higher
6,1050,higher
5,950,higher
7,1100,higher
6,1200,higher
7,1250,higher
8,1300,higher
7,1350,higher
9,1400,higher
8,1450,higher
10,1500,equal
10,1550,equal
11,1600,equal
12,1650,equal
11,1700,equal
12,1750,equal
13,1800,equal
14,1850,equal
13,1900,equal
14,1950,equal
17,2000,lower
16,2050,lower
19,2100,lower
18,2150,lower
17,2200,lower
18,2250,lower
19,2300,lower
20,2350,lower
21,2400,lower
20,2450,lower
